case,n_slices,no_mask_slices,mean_dice,mean_iou,min_dice,max_dice
sub-strokecase0020,72,30,0.153473,0.124555,0.0,0.884211
sub-strokecase0021,72,24,0.149491,0.111792,0.0,0.79375
sub-strokecase0023,73,7,0.477755,0.370903,0.0,0.884921
sub-strokecase0032,73,32,0.0,0.0,0.0,0.0
sub-strokecase0046,65,41,0.0,0.0,0.0,0.0
sub-strokecase0048,72,23,0.281539,0.212929,0.0,0.870317
sub-strokecase0092,75,32,0.084889,0.067103,0.0,0.926946
sub-strokecase0100,73,35,0.011007,0.006636,0.0,0.461538
sub-strokecase0101,73,48,0.050551,0.039921,0.0,0.834512
sub-strokecase0111,72,36,0.0,0.0,0.0,0.0
sub-strokecase0124,72,35,0.037249,0.023277,0.0,0.496894
sub-strokecase0125,73,30,0.167375,0.142492,0.0,0.941436
sub-strokecase0150,75,28,0.0,0.0,0.0,0.0
sub-strokecase0163,73,29,0.061796,0.044319,0.0,0.813559
sub-strokecase0173,72,34,0.095864,0.063157,0.0,0.614035
sub-strokecase0176,25,9,0.318898,0.287575,0.0,0.947503
sub-strokecase0182,25,14,0.0,0.0,0.0,0.0
sub-strokecase0190,72,22,0.098572,0.076224,0.0,0.872093
sub-strokecase0196,73,33,0.0648,0.047229,0.0,0.770878
sub-strokecase0199,30,12,0.083499,0.059346,0.0,0.765125
sub-strokecase0205,72,28,0.107932,0.072421,0.0,0.763231
sub-strokecase0231,72,28,0.134982,0.108289,0.0,0.923077
sub-strokecase0232,30,13,0.087084,0.06993,0.0,0.896552
sub-strokecase0238,30,13,0.148308,0.118571,0.0,0.851376
sub-strokecase0242,72,27,0.05986,0.043882,0.0,0.862876
